Rialto Unified,San Bernardino,50891,36436,5630
Lincoln Elementary,Marin,24,2,0
Grenada Elementary,Siskiyou,392,155,78
Buena Park Elementary,Orange,9560,5794,1143
Chowchilla Union High,Madera,2091,1071,165
Enterprise Elementary,Shasta,7523,4229,996
Los Gatos Union Elementary,Santa Clara,6507,131,16
Live Oak Unified,Sutter,3586,2226,583
SBE - New West Charter,Los Angeles,1642,243,129
Placer Union High,Placer,7954,1346,353
Fall River Joint Unified,Shasta,2419,1221,180
Monterey Peninsula Unified,Monterey,21092,10485,3123
Dixie Elementary,Marin,3944,373,60
Salida Union Elementary,Stanislaus,6535,2881,1079
Bolinas-Stinson Union,Marin,170,14,70
Los Angeles Unified,Los Angeles,1244599,858337,125517
San Lucas Union Elementary,Monterey,136,110,4
Elk Hills Elementary,Kern,368,192,24
National Elementary,San Diego,11756,7727,1471
Antelope Valley Union High,Los Angeles,45963,26558,4820
East Side Union High,Santa Clara,52180,20000,6132
Kern County Office of Education,Kern,8630,5060,755
Galt Joint Union High,Sacramento,4310,2008,541
ABC Unified,Los Angeles,41131,16293,4010
Vallejo City Unified,Solano,28806,17924,2106
Johnstonville Elementary,Lassen,409,168,41
Escondido Union,San Diego,37710,23250,3998
Natomas Unified,Sacramento,29023,11574,2389
Northern Humboldt Union High,Humboldt,3409,1050,244
Carpinteria Unified,Santa Barbara,4441,2043,668
Junction Elementary,Siskiyou,589,143,70
Washington Unified,Yolo,21862,14114,1217
Lucia Mar Unified,San Luis Obispo,21059,7928,2081
Helendale Elementary,San Bernardino,5174,2316,677
Liberty Elementary,Tulare,3332,1258,292
Windsor Unified,Sonoma,10333,2895,805
Siskiyou County Office of Education,Siskiyou,1042,539,150
Hawthorne,Los Angeles,17029,12843,1554
Banta Elementary,San Joaquin,1520,605,140
Arena Union Elementary,Mendocino,623,372,76
Yuba City Unified,Sutter,26278,15034,2875
Saucelito Elementary,Tulare,183,123,16
Dublin Unified,Alameda,21186,1230,327
North Monterey County Unified,Monterey,9093,6007,1389
Terra Bella Union Elementary,Tulare,1815,1789,0
Shandon Joint Unified,San Luis Obispo,617,356,62
French Gulch-Whiskeytown Elementary,Shasta,59,43,4
San Bernardino County Office of Education,San Bernardino,6686,4740,470
Yreka Union Elementary,Siskiyou,1903,1132,158
Mupu Elementary,Ventura,527,262,56
Gonzales Unified,Monterey,4795,3322,645
Novato Unified,Marin,15576,4015,1065
Pacific Grove Unified,Monterey,4104,527,200
Torrance Unified,Los Angeles,46967,8801,3373
Pleasant Grove Joint Union,Sutter,387,82,40
La Mesa-Spring Valley,San Diego,24427,10846,2914
Hollister,San Benito,11439,5693,817
Blue Lake Union Elementary,Humboldt,335,174,18
Ripon Unified,San Joaquin,8335,2455,573
Westside Union Elementary,Los Angeles,18499,7035,1199
Whittier City Elementary,Los Angeles,12037,7953,1541
Pacific Union Elementary,Humboldt,1919,1091,143
Paramount Unified,Los Angeles,30568,25366,3162
Chula Vista Elementary,San Diego,59717,22918,7164
Mountain Union Elementary,Shasta,150,129,14
Linden Unified,San Joaquin,4372,2106,431
Julian Union High,San Diego,293,137,12
Southern Trinity Joint Unified,Trinity,203,143,14
Walnut Creek Elementary,Contra Costa,7119,502,106
Black Oak Mine Unified,El Dorado,2474,941,176
Bellevue Union Elementary,Sonoma,3756,2391,500
Lakeport Unified,Lake,3043,1560,294
Coronado Unified,San Diego,6063,257,229
Ventura County Office of Education,Ventura,5950,2139,453
Modoc Joint Unified,Modoc,1674,818,82
